XCOORD,YCOORD
44.98305703,-93.24219733
47.52407749,-92.53959219
45.55322729,-94.20489343
45.06305457,-93.1868548
46.08121075,-93.79829522
44.94719896,-93.04030075
45.17713992,-93.87633319
45.22315811,-93.84802994
45.09099154,-93.12647254
46.79743084,-95.94455481
44.9537103,-93.29762582
45.41082249,-93.59279767
45.19674033,-93.12232703
45.0186073,-93.29728014
46.34092631,-96.13318585
45.38789032,-94.06997408
43.70171679,-93.02995615
43.99289273,-92.462884
45.06430086,-93.21492803
46.80001935,-92.08613357
44.9751034,-93.27720044
44.94912437,-95.39226334
46.60083413,-96.34361297
46.76525143,-92.12450491
45.47391409,-93.00093324
44.09509982,-93.252668
45.55347795,-94.2054581
46.67466525,-96.40839377
44.98074032,-93.26894527
45.33243956,-93.74241867
45.55326161,-94.18430617
44.68147928,-93.27786701
45.55390645,-94.17771317
45.15935736,-93.39153086
46.86017741,-94.83861887
44.94838244,-93.23619323
44.2936016,-93.2745531
44.99180152,-93.02517731
44.86992146,-93.41720631
45.05375724,-93.34503406
47.53602162,-92.54580152
45.55344387,-94.20316064
44.92072343,-93.4142257
44.97622816,-93.40058089
44.78334487,-93.52002158
43.75390808,-92.32868281
44.17707348,-94.0334462
44.94817776,-93.2795796
44.82301196,-93.39885906
45.55371787,-94.21912467
46.93144215,-94.98906838
45.61532626,-94.20973758
45.04791034,-93.11100811
45.55329666,-94.18590181
43.67785697,-92.9934121
45.7260885,-93.21761332
45.21628917,-93.39385458
44.9626826,-93.28301324
44.97626501,-93.07727332
44.9627379,-93.25396231
45.02078647,-93.10442704
44.73901545,-93.19703846
45.07916125,-93.0515449
47.52323167,-92.53142715
45.58503163,-92.99289088
45.01991572,-92.98436423
45.12743823,-93.49542598
45.08372211,-93.33133839
45.16774162,-93.16319618
45.27574083,-92.99882322
45.18331583,-93.28273777
44.6515133,-93.75591198
45.07619884,-94.08297577
44.96465694,-93.23621662
47.51960659,-92.53475329
44.96098228,-93.25828889
43.64673136,-94.47701207
44.8903399,-93.26727266
45.06490582,-93.91139732
45.05675004,-93.2387158
46.81632471,-95.84545386
44.81666824,-93.60014891
44.670996,-93.63892841
44.96043283,-93.206918
44.98716127,-93.23858985
44.85831265,-93.33139401
44.89066374,-93.30531068
45.14231562,-95.15587378
45.15385501,-95.01655099
44.77807287,-92.86398755
44.96506073,-93.28723927
45.42133509,-93.87232681
44.96521235,-93.28756211
44.94567091,-92.93426949
46.86631901,-93.94520745
45.43659015,-93.68892929
45.06462931,-93.22251121
45.28345452,-93.56219123
44.89058185,-93.30742785
45.20674202,-93.83746781
44.41570922,-95.12393971
44.78708439,-92.87969961
44.99512583,-93.2386229
45.21551766,-93.35761174
46.20772449,-93.78820261
45.21265204,-93.41282583
44.59524586,-93.23820573
44.88941795,-93.4001923
45.10171842,-93.40038132
44.96531886,-93.26724483
44.96005253,-93.20648724
45.37891371,-93.74769696
45.20746025,-93.35783889
44.96546592,-93.07744334
44.96589748,-93.28788761
45.00139525,-93.34940613
45.57916356,-92.99289162
46.34468431,-93.93595701
44.82170765,-93.39421168
45.48474367,-94.67085038
44.55250884,-92.76557278
44.40738678,-92.76706705
44.74650527,-93.28427442
43.85471922,-95.11582157
46.72456757,-92.22820626
43.87218131,-95.1170051
44.95280728,-93.25376268
43.52859942,-93.6681893
45.00261161,-93.28495952
46.85302793,-92.2807052
44.89802916,-93.09598274
44.73178358,-93.12754861
45.55138232,-94.19836655
45.30583641,-93.79415459
45.28160863,-93.01056771
44.69054764,-93.28252165
45.04753044,-93.28764716
45.75025503,-94.11653921
47.18124575,-92.48417776
44.9201218,-92.93367364
44.83700235,-93.27851138
45.21955541,-93.3116996
44.83225376,-93.28013536
46.79033464,-92.13619378
44.75446939,-93.2872638
45.55311749,-94.19283527
44.93972572,-93.23268016
44.77126278,-93.54083717
45.05300782,-93.30932647
44.00011014,-92.47496992
45.15266726,-92.99448228
44.95142525,-93.36063443
44.0843583,-93.24354068
43.78191581,-92.1328735
44.76171527,-93.56131604
44.80875888,-93.33828041
44.02813471,-92.47902138
44.6013951,-93.44035485
44.93658896,-92.95437397
44.93407381,-93.26750848
44.94839187,-93.29072955
45.55304096,-94.18483882
44.16460529,-93.9997781
44.73126126,-92.85770221
44.31616019,-92.70150547
45.05234925,-93.36025739
44.54836005,-92.4567494
46.84615643,-96.77436211
44.68699646,-93.25779832
44.98698277,-93.08629757
44.91554988,-93.27489817
44.95874533,-93.26011047
44.83707909,-93.2782975
44.95736728,-93.28799306
44.94366168,-93.10370053
43.63460349,-95.92979328
